Nomor,Operasi,Volume,Jumlah client worker pool,Jumlah server worker pool,Waktu total per client (s),Throughput per client (Bps),Jumlah request sukses,Jumlah request gagal
1,upload,10MB,1,1,0.15,68804407.18,1,0
2,upload,10MB,1,5,0.14,73355180.28,1,0
3,upload,10MB,1,50,0.24,43875952.59,1,0
4,upload,10MB,5,1,0.4,26471340.84,5,0
5,upload,10MB,5,5,0.31,33705457.51,5,0
6,upload,10MB,5,50,0.42,24925242.13,5,0
7,upload,10MB,50,1,4.3,2439497.45,50,0
8,upload,10MB,50,5,2.44,4301436.67,50,0
9,upload,10MB,50,50,3.26,3219679.77,50,0
10,upload,50MB,1,1,0.77,67914037.47,1,0
11,upload,50MB,1,5,0.62,85236003.38,1,0
12,upload,50MB,1,50,0.79,66737518.43,1,0
13,upload,50MB,5,1,1.95,26867172.44,5,0
14,upload,50MB,5,5,1.17,44996062.23,5,0
15,upload,50MB,5,50,1.75,30037263.51,5,0
16,upload,50MB,50,1,33.14,1582004.96,0,50
17,upload,50MB,50,5,13.6,3855387.53,0,50
18,upload,50MB,50,50,10.76,4873396.65,0,50
19,upload,100MB,1,1,1.37,76737435.66,1,0
20,upload,100MB,1,5,1.01,103411959.24,1,0
21,upload,100MB,1,50,1.1,95643722.66,1,0
22,upload,100MB,5,1,5.65,18543236.76,5,0
23,upload,100MB,5,5,2.97,35340784.75,5,0
24,upload,100MB,5,50,2.49,42058698.05,5,0
25,upload,100MB,50,1,66.07,1586958.2,0,50
26,upload,100MB,50,5,91.9,1140993.18,0,50
27,upload,100MB,50,50,21.14,4959037.37,0,50
28,download,10MB,1,1,0.24,44264064.98,1,0
29,download,10MB,1,5,0.23,44772672.78,1,0
30,download,10MB,1,50,0.32,32794004.02,1,0
31,download,10MB,5,1,0.5,21055404.19,5,0
32,download,10MB,5,5,0.46,22851672.04,5,0
33,download,10MB,5,50,0.53,19780165.04,5,0
34,download,10MB,50,1,4.44,2363631.52,50,0
35,download,10MB,50,5,4.05,2586906.47,50,0
36,download,10MB,50,50,4.26,2463218.05,50,0
37,download,50MB,1,1,0.89,59196275.86,1,0
38,download,50MB,1,5,1.04,50213186.99,1,0
39,download,50MB,1,50,1.0,52329077.54,1,0
40,download,50MB,5,1,2.85,18372636.54,5,0
41,download,50MB,5,5,2.56,20519681.38,5,0
42,download,50MB,5,50,2.55,20552032.17,5,0
43,download,50MB,50,1,null,null,null,null
44,download,50MB,50,5,null,null,null,null
45,download,50MB,50,50,null,null,null,null
46,download,100MB,1,1,1.95,53716867.6,1,0
47,download,100MB,1,5,1.94,54164188.31,1,0
48,download,100MB,1,50,1.96,53469317.3,1,0
49,download,100MB,5,1,5.46,19192493.79,5,0
50,download,100MB,5,5,5.21,20123013.14,5,0
51,download,100MB,5,50,5.03,20844748.98,5,0
52,download,100MB,50,1,null,null,null,null
53,download,100MB,50,5,null,null,null,null
54,download,100MB,50,50,null,null,null,null
